scope,comparison,feature_set,model,weighting,n_folds,spearman_mean,pearson_mean,rmse_mean,mae_mean,r2_mean,auroc_lt_neg0p5_mean,auroc_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_mean
internal_cv_all,Mean label baseline,delta_all,mean_label,unweighted,5,,,0.702661595749509,0.5479701190985474,-0.0001729284802878,0.5,0.5,0.8985699256550387
internal_cv_all,n_cells-only negative control,n_cells_only,ridge,unweighted,5,0.0002543696646969,0.0919777738732046,0.7000664894958735,0.5458892780018042,0.0073749707192335,0.4804248608821773,0.4975799232260966,1.4164405292168227
internal_cv_all,target-gene delta only,target_knockdown_only,ridge,unweighted,5,0.24151098109261,0.2841026703725394,0.6737698123508586,0.5245635439138354,0.0803215285138692,0.6128375947117074,0.6215192337142245,1.9115577740770464
internal_cv_all,response burden + Ridge,response_burden,ridge,unweighted,5,0.425934488221715,0.3869119104044074,0.6486602099271686,0.4965865746488139,0.1475457347834249,0.7325598784877476,0.7048389747196062,1.5574880046528463
internal_cv_all,full delta + Ridge,delta_all,ridge,unweighted,5,0.3476695458025086,0.356381565565062,0.7237006596815576,0.5531956055062919,-0.0606395336562498,0.6744509190218185,0.6695668947378808,1.816465426529365
internal_cv_all,full delta + ElasticNet,delta_all,elastic_net,unweighted,5,0.2824710267450483,0.2940083866176317,0.787580469286089,0.6067264558204496,-0.2562965834461349,0.6331053550601329,0.6398964484128717,1.6754920358007
internal_cv_all,PCA20 delta + Ridge,delta_all,pca20_ridge,unweighted,5,0.4795571542502718,0.4634368824280352,0.6225674497689097,0.4766381437881248,0.2148789366871081,0.7491703787480983,0.7363403517902232,1.9114868159911
internal_cv_all,PCA50 delta + Ridge,delta_all,pca50_ridge,unweighted,5,0.4848062270439771,0.4735007740811777,0.6190230862368923,0.4718674733020537,0.2237697451513816,0.7521208397715098,0.7375761399612266,1.9820485716230585
internal_cv_all,PCA100 delta + Ridge,delta_all,pca100_ridge,unweighted,5,0.4813256482455115,0.4742138250580024,0.6188902420120013,0.4715854738263413,0.2239687075238648,0.7532646895049361,0.7356878337160773,2.005545504138396
internal_cv_all,full delta + RandomForest,delta_all,random_forest,unweighted,5,0.4758254919949844,0.4807981715238831,0.6163412106713733,0.4717369125195104,0.2305463371109158,0.743165035176945,0.733800237896203,2.005769709381006
internal_cv_all,PCA20 delta + RandomForest,delta_all,pca20_random_forest,unweighted,5,0.4922237292733377,0.4895567712272831,0.6133929969700429,0.4661810820242705,0.2376939921246448,0.7572692355943789,0.7419900479365344,1.9584015185724688
internal_cv_all,PCA50 delta + RandomForest,delta_all,pca50_random_forest,unweighted,5,0.4941988402354006,0.4934653302053055,0.611516517436058,0.4619846630479326,0.2422357033249124,0.7554153776060085,0.7420884583597985,2.077069961084794
internal_cv_all,PCA100 delta + RandomForest,delta_all,pca100_random_forest,unweighted,5,0.4913273542189905,0.4832653951872132,0.6156790543650809,0.463398874855471,0.2320320838971444,0.7532443935914255,0.7424056471438492,1.9357273223202145
internal_cv_all,"PCA50 delta + Ridge, n_cells weighted",delta_all,pca50_ridge,sqrt_n_cells,5,0.4835622310720051,0.4707190629381729,0.6205913513892293,0.4718416053488024,0.2197432140693865,0.7529053927942315,0.7360842663228117,1.9822727768656687
internal_cv_all,target-masked PCA50 delta + Ridge,delta_mask_target,pca50_ridge,unweighted,5,0.4844393740631847,0.4734498376429541,0.6190363683219526,0.4718061672329828,0.2237352770834673,0.7520039523878426,0.73737469072095,1.9820485716230585
internal_cv_all,target-masked delta + RandomForest,delta_mask_target,random_forest,unweighted,5,0.4743023782346589,0.4794162852726971,0.6169553788448371,0.4722698897588856,0.2290477862629931,0.7423361084452733,0.7337063177239415,2.0526844119623755
internal_cv_all,target-masked PCA50 delta + RandomForest,delta_mask_target,pca50_random_forest,unweighted,5,0.4956883596885801,0.4916985170591205,0.6121034247642112,0.4630588197339577,0.2407680820669463,0.7566795739689752,0.7420508087072134,2.030524506539339
internal_cv_target_index_valid,target-valid full delta + Ridge,delta_all,ridge,unweighted,5,0.3133732918307001,0.3313565008326055,0.7226052759139814,0.5591661372408097,-0.058183370019306,0.6643796002790278,0.6481897475752167,1.6522944637447754
internal_cv_target_index_valid,target-valid masked delta + Ridge,delta_mask_target,ridge,unweighted,5,0.3102057916409703,0.3274138119482173,0.7268833228788638,0.5624445988908164,-0.0708189241500894,0.6642687940758293,0.6456053046914636,1.6772519761203777
internal_cv_target_index_valid,target-valid PCA50 delta + Ridge,delta_all,pca50_ridge,unweighted,5,0.45903029635575,0.4479737674638991,0.6288894827196928,0.4818633022828349,0.1969918127811049,0.7470283878528211,0.7209729620979958,1.8502691278746648
internal_cv_target_index_valid,target-valid masked PCA50 + Ridge,delta_mask_target,pca50_ridge,unweighted,5,0.458936874633712,0.4478699565851706,0.6289164349869096,0.4818817290718784,0.196905861844974,0.7471059598425724,0.7208569043800845,1.8502691278746648
internal_cv_target_index_valid,target-valid delta + RandomForest,delta_all,random_forest,unweighted,5,0.4451150507061773,0.4457283574557905,0.6291080834942622,0.4854467878082963,0.1964986964851963,0.7316385545652485,0.7188447747089409,1.9227864604099536
internal_cv_target_index_valid,target-valid masked delta + RandomForest,delta_mask_target,random_forest,unweighted,5,0.4416361806899515,0.442652182940802,0.6302018551515938,0.4861996579754315,0.193788866633091,0.7295383653654801,0.7165327586613255,1.9227864604099536
internal_cv_target_index_valid,target-valid PCA50 delta + RandomForest,delta_all,pca50_random_forest,unweighted,5,0.4672126211738487,0.469490817521957,0.6207466441233505,0.4745804647057278,0.2176331108622392,0.7450276818394871,0.7237159816302917,1.873053943604266
internal_cv_target_index_valid,target-valid masked PCA50 delta + RandomForest,delta_mask_target,pca50_random_forest,unweighted,5,0.4662332830595096,0.4680623361154692,0.6212194751285247,0.475176169086512,0.2163198892204919,0.7427139050182078,0.7245085923686394,1.9242804948308168
